category,lat,lon
station,51.9528259,29.2053136
station,51.8926044,29.1844019
station,51.9009850,29.2730469
station,52.2147864,29.3855367
station,52.1350225,29.2249981
station,51.4737446,30.3271357
fap,55.5324718,28.6444328
fap,55.5320683,28.6449368
fap,55.5325305,28.6453300
bank,55.5350056,28.6443483
sports_centre,53.1417505,29.2177180
station,55.4240802,28.5814255
station,55.3460655,28.3465611
cafe,55.3509755,28.3209733
station,55.4067673,28.4735595
station,55.2855817,28.2217828
shop_grocery,53.7794500,27.5619500
station,55.8169101,27.9400600
station,55.2146366,28.0796130
station,55.1612064,27.9758481
shop_grocery,54.8831726,27.7757317
station,54.9546226,27.6674956
shop_grocery,53.9167502,27.5604912
station,54.8786346,27.6029247
restaurant,55.1386671,27.6871388
station,55.3680040,27.4695805
station,55.7783723,27.4803948
station,55.1337069,27.5840994
shop_grocery,55.2427218,27.6697045
station,55.1307532,27.4988873
shop_grocery,55.2415285,27.6703682
station,55.1493561,27.3812312
shop_grocery,53.8967716,27.5920388
station,54.8393478,27.5090805
station,55.1504042,27.0862389
shop_grocery,53.1885336,29.2141426
cafe,53.9115955,27.6034391
shop_grocery,53.9118458,27.5983557
cafe,53.8681647,27.5995766
station,53.6164625,29.5477590
station,53.0092723,29.6596111
station,53.5992393,29.4992504
station,52.9788133,29.7275783
station,53.7172176,29.8426873
station,53.7389601,29.8922512
shop_grocery,53.1407206,29.3032639
station,53.1178185,29.3205185
station,53.0860275,29.3713909
station,53.5091673,29.2413328
station,53.5479810,29.3519363
station,53.5711736,29.4182110
station,53.0426968,29.5147405
station,53.0575362,29.4465429
station,53.0275213,29.5710961
station,54.0382574,28.2023532
cafe,54.0934986,28.2817509
shop_grocery,54.0975928,28.3044205
station,54.0663771,28.2812261
station,54.1023042,28.3408076
shop_grocery,54.0930300,28.3072800
station,54.0869864,28.3154558
shop_grocery,54.1095750,28.3600830
school,54.0934910,28.3243465
pool,54.0967787,28.3255689
shop_grocery,54.0939073,28.3196117
shop_grocery,54.0947310,28.3220815
cafe,54.0942229,28.3202966
shop_grocery,53.9278434,27.5864308
cafe,53.9163053,27.5861765
shop_grocery,53.9288728,27.5874381
station,54.1910890,27.0846658
station,54.2719516,27.0243024
station,54.6159163,27.0818973
station,54.6418773,27.1310268
station,54.2800947,26.9746799
station,54.5589790,26.9891885
station,54.3540425,26.8595182
station,54.4210106,26.8799797
station,54.4619377,26.8882148
station,54.3058051,29.3620338
station,54.2917294,26.9194619
fap,54.2968243,26.8769265
station,54.3010570,26.8841427
shop_grocery,54.4872300,30.4250100
cafe,53.2356000,26.6791200
shop_grocery,54.4934583,30.4163883
station,53.4336929,26.6790600
station,53.0845393,26.5665185
station,53.3149057,26.5379772
station,54.5146581,30.3233108
station,53.2604791,26.4423437
station,54.7389420,27.2967425
station,53.2044448,26.2963582
station,55.0135071,30.7957765
station,55.0249941,30.7039895
station,54.6749256,27.1831247
station,55.0043455,30.8694518
station,54.6863325,30.8887824
station,54.9884109,30.9401072
station,54.6744488,30.7678886
shop_grocery,53.9109909,27.5081920
shop_grocery,54.4901261,30.4290468
shop_grocery,54.4911187,30.4287250
shop_grocery,54.4871005,30.4369947
station,54.5422401,30.4476129
station,54.6496923,30.6587692
station,54.6207756,30.5638494
station,54.2992167,26.8107075
restaurant,53.9112682,27.5462309
station,54.2180460,26.5217710
station,54.3316370,26.7306502
station,54.3662671,26.6610268
station,54.8426720,30.2071672
station,55.0134354,30.1765541
shop_grocery,55.0638952,30.3521382
station,55.1113141,30.2979578
station,55.2850241,30.3025634
station,55.2220750,30.2683635
station,54.1711695,26.1539278
station,54.1812971,26.2577792
station,54.2181477,26.3694115
cafe,55.1979087,30.2078523
shop_grocery,55.8449003,29.9718353
station,53.0756069,29.1723557
station,55.4086041,30.0590108
station,54.4702321,30.0353945
station,54.4655807,29.9294966
station,55.1781440,30.0983294
station,53.4638857,29.1128133
station,54.4781770,30.1292319
station,53.1764784,29.0678768
station,53.1829046,29.0374886
shop_grocery,53.1193732,29.1369369
station,53.0318115,29.1681650
station,53.3529897,28.8428691
shop_grocery,53.9299500,27.5478100
station,53.5457540,28.7431698
station,53.1946196,28.9815379
station,53.2192255,28.9277057
station,53.3383752,28.5196655
station,53.4837903,28.5351546
station,53.2548862,28.5621574
station,53.2084773,28.5355491
station,53.1767823,28.4907374
station,53.4037573,28.4896419
station,53.4581975,28.4968990
station,53.3170591,28.5862525
station,53.4913277,28.5910184
station,53.2995274,28.6460443
station,53.3021608,28.7040998
station,53.2697023,28.7725573
station,55.3943062,29.1464267
station,55.7344613,29.3300532
sports_centre,53.9114800,27.5458600
station,54.3083904,29.4462219
shop_grocery,55.3051245,29.5978277
fap,53.1771261,29.1928806
station,55.2638046,29.7610814
shop_grocery,54.4366862,29.6048925
station,54.3491475,29.6029354
station,54.3760577,29.6827034
shop_grocery,54.4347354,29.6044960
station,54.4443675,29.8522842
station,55.5850588,29.9398844
shop_grocery,55.4876718,28.7804818
shop_grocery,55.4888230,28.7853412
cafe,55.4912891,28.8080306
shop_grocery,55.5008900,28.8229800
shop_grocery,55.4947300,28.8057200
shop_grocery,55.4908100,28.7980900
station,53.4283122,28.4872776
shop_grocery,55.5378324,28.6322806
shop_grocery,55.5367974,28.6437415
shop_grocery,55.5427319,28.6273866
cafe,55.5305489,28.6426860
shop_grocery,55.5337196,28.6546051
shop_grocery,55.5340686,28.6534717
station,55.4538462,28.7208092
shop_grocery,55.5315760,28.6621899
shop_grocery,55.5048917,28.7393155
shop_grocery,55.4778101,28.7655641
shop_grocery,53.9516701,27.6814352
station,53.9174545,25.3648950
station,53.7355626,25.3930588
station,54.1549291,25.3015204
station,54.0785838,25.2936509
station,53.9548355,25.5082794
station,53.3277398,25.6149593
station,53.3512270,25.5999403
cafe,53.8837325,25.7416428
station,54.0331421,25.8344693
station,54.0907175,25.9655388
station,53.7276029,25.0489495
station,53.0840279,25.0320940
station,53.7707775,25.1374081
station,53.7494911,25.1076490
shop_grocery,53.0756545,25.2776301
station,53.0758139,25.1507092
station,53.0805711,25.3929093
shop_grocery,53.0580037,25.4747166
station,53.8417667,25.2372042
station,53.9583430,25.2653479
station,53.8811516,25.2951169
station,53.1168326,24.3632620
station,53.0572705,24.2047369
station,53.1074180,24.2361072
station,53.0878933,24.2533409
station,53.0291052,24.1104700
station,53.1058921,24.1319808
station,53.0997517,24.0462551
station,53.1521774,24.5721475
station,53.3811502,24.4770017
station,53.6250909,24.8946137
station,53.1870999,24.6941920
station,53.1223536,24.9472437
station,53.1619706,24.7990416
station,54.2763842,28.8377020
station,54.2526378,28.7884781
shop_grocery,54.2702568,28.6898831
station,52.1731619,31.6367143
station,52.1703256,31.6888481
station,52.1765528,31.4886098
station,52.1430659,31.4436900
station,52.4335726,31.4778027
station,52.2101003,31.4177078
station,52.1686810,31.5485142
station,52.1669329,31.5886445
station,52.2642507,31.3428551
station,52.2833987,31.2764115
station,52.4269301,31.0918155
station,52.3916657,31.1006561
station,52.4040774,31.0899098
station,52.3891785,31.1681533
station,52.2136880,31.1016848
shop_grocery,53.8759200,27.6314300
station,52.1416987,31.1256476
station,52.3544186,31.1168922
station,52.1090714,31.1366098
station,52.3235126,31.1816234
station,52.3080051,31.2104758
post_office,52.4636551,31.0365160
shop_grocery,52.4436942,31.0231062
cafe,52.4815200,31.0203900
fap,52.4772178,31.0231471
station,52.4498274,30.9883869
station,52.4563877,30.9452237
station,52.5717017,30.8792371
station,52.4302447,30.9036469
station,52.4412330,30.9275195
post_office,52.1011547,23.7687078
post_office,52.1089327,23.7741702
post_office,52.1068973,23.7695566
station,52.5784746,30.8616129
shop_grocery,53.9077200,27.6238100
station,53.8533984,31.5819208
station,53.8829228,31.5518345
station,53.9284317,31.4812973
station,53.8027509,31.6604573
station,53.5229676,32.0093201
shop_grocery,53.9456254,27.6323665
station,53.6735202,31.8323593
station,53.7258486,31.8484395
station,53.2330571,32.1614680
station,53.3782083,32.0596468
station,53.2828145,32.1167131
station,53.7224028,32.1571068
station,53.7812624,30.9280178
station,53.7612008,31.0287548
station,54.3456859,30.7420528
station,53.7947322,30.8394250
station,54.1663751,31.1568759
station,54.2032114,31.0862218
station,54.2971018,30.8719730
station,53.7587811,31.1307250
station,54.2640771,30.9898339
station,54.0972036,31.2426168
station,54.0368022,31.3368300
station,53.7624428,31.2762522
station,53.9788580,31.4132179
station,53.7554711,31.4410104
station,53.7573456,31.5390632
station,53.7950884,30.2131918
station,53.8489823,30.1619391
station,53.8684032,30.2485747
shop_grocery,53.8572604,30.2537615
station,53.7474286,30.2406957
station,54.0437293,30.2846224
shop_grocery,53.9007529,30.3569646
station,53.9196123,30.3561845
station,53.8772449,30.4027739
station,53.8662423,30.4474235
station,54.4212577,26.5410664
station,54.4717618,26.4057574
station,53.8161207,30.7368761
station,53.8242900,30.6876000
station,53.7883263,29.9771337
