year,origin_oblast,dest_oblast,age_group,migrants
2009,BY-MA,BY-HR,80 и старше,11
2009,BY-MA,BY-MA,0-4,541
2009,BY-MA,BY-MA,10-14,693
2009,BY-MA,BY-MA,15-19,9593
2009,BY-MA,BY-MA,20-24,6370
2009,BY-MA,BY-MA,25-29,2523
2009,BY-MA,BY-MA,30-34,1451
2009,BY-MA,BY-MA,35-39,1062
2009,BY-MA,BY-MA,40-44,806
2009,BY-MA,BY-MA,45-49,692
2009,BY-MA,BY-MA,5-9,652
2009,BY-MA,BY-MA,50-54,614
2009,BY-MA,BY-MA,55-59,475
2009,BY-MA,BY-MA,60-64,303
2009,BY-MA,BY-MA,65-69,188
2009,BY-MA,BY-MA,70-74,297
2009,BY-MA,BY-MA,75-79,262
2009,BY-MA,BY-MA,80 и старше,442
2009,BY-MA,BY-MA,Возраст не определен,1
2009,BY-MA,BY-MI,0-4,132
2009,BY-MA,BY-MI,10-14,144
2009,BY-MA,BY-MI,15-19,842
2009,BY-MA,BY-MI,20-24,1354
2009,BY-MA,BY-MI,25-29,627
2009,BY-MA,BY-MI,30-34,303
2009,BY-MA,BY-MI,35-39,204
2009,BY-MA,BY-MI,40-44,193
2009,BY-MA,BY-MI,45-49,155
2009,BY-MA,BY-MI,5-9,150
2009,BY-MA,BY-MI,50-54,116
2009,BY-MA,BY-MI,55-59,73
2009,BY-MA,BY-MI,60-64,39
2009,BY-MA,BY-MI,65-69,33
2009,BY-MA,BY-MI,70-74,57
2009,BY-MA,BY-MI,75-79,51
2009,BY-MA,BY-MI,80 и старше,93
2009,BY-MA,BY-VI,0-4,76
2009,BY-MA,BY-VI,10-14,56
2009,BY-MA,BY-VI,15-19,1180
2009,BY-MA,BY-VI,20-24,1343
2009,BY-MA,BY-VI,25-29,430
2009,BY-MA,BY-VI,30-34,201
2009,BY-MA,BY-VI,35-39,156
2009,BY-MA,BY-VI,40-44,121
2009,BY-MA,BY-VI,45-49,101
