territory_id,metric,year,value,dtype
r-smarhonski,min_minutes_to_minsk,2026,89.1,d
r-staradarozhski,wage_byn,2010,96.9761,d
r-staradarozhski,wage_byn,2011,150.8098,d
r-staradarozhski,wage_byn,2012,301.1997,d
r-staradarozhski,wage_byn,2013,382.6983,d
r-staradarozhski,wage_byn,2014,439.1227,d
r-staradarozhski,wage_byn,2015,555.8748,d
r-staradarozhski,wage_byn,2016,503.6,d
r-staradarozhski,wage_byn,2017,581.8,d
r-staradarozhski,wage_byn,2018,807.9,d
r-staradarozhski,wage_byn,2019,887.2,d
r-staradarozhski,wage_byn,2020,1032.6,d
r-staradarozhski,wage_byn,2021,1195.0,d
r-staradarozhski,wage_byn,2022,1364.8,d
r-staradarozhski,wage_byn,2023,1588.8,d
r-staradarozhski,wage_byn,2024,1886.1,d
r-staradarozhski,wage_byn,2025,2257.6,d
r-staradarozhski,employed_persons,2010,10091.0,d
r-staradarozhski,employed_persons,2011,10039.0,d
r-staradarozhski,employed_persons,2012,9913.0,d
r-staradarozhski,employed_persons,2013,9772.0,d
r-staradarozhski,employed_persons,2014,9753.0,d
r-staradarozhski,employed_persons,2015,9781.0,d
r-staradarozhski,employed_persons,2016,9664.0,d
r-staradarozhski,employed_persons,2017,9617.0,d
r-staradarozhski,employed_persons,2018,9709.0,d
r-staradarozhski,employed_persons,2019,9578.0,d
r-staradarozhski,employed_persons,2020,9376.0,d
r-staradarozhski,employed_persons,2021,9227.0,d
r-staradarozhski,employed_persons,2022,8902.0,d
r-staradarozhski,employed_persons,2023,8545.0,d
r-staradarozhski,employed_persons,2024,8450.0,d
r-staradarozhski,k_oblast_coverage_2019,2019,1.1262,m
r-staradarozhski,avg_pension_oblast_byn,2025,914.4,d
r-staradarozhski,min_minutes_to_minsk,2026,99.4,d
r-staubcouski,wage_byn,2010,99.1265,d
r-staubcouski,wage_byn,2011,159.2717,d
r-staubcouski,wage_byn,2012,314.6337,d
r-staubcouski,wage_byn,2013,426.9014,d
r-staubcouski,wage_byn,2014,524.8687,d
r-staubcouski,wage_byn,2015,596.4785,d
r-staubcouski,wage_byn,2016,609.7,d
r-staubcouski,wage_byn,2017,689.4,d
r-staubcouski,wage_byn,2018,825.6,d
r-staubcouski,wage_byn,2019,931.9,d
r-staubcouski,wage_byn,2020,1077.1,d
r-staubcouski,wage_byn,2021,1249.6,d
r-staubcouski,wage_byn,2022,1441.8,d
r-staubcouski,wage_byn,2023,1681.6,d
r-staubcouski,wage_byn,2024,2021.5,d
r-staubcouski,wage_byn,2025,2361.6,d
r-staubcouski,employed_persons,2010,18804.0,d
r-staubcouski,employed_persons,2011,18701.0,d
r-staubcouski,employed_persons,2012,18786.0,d
r-staubcouski,employed_persons,2013,18463.0,d
r-staubcouski,employed_persons,2014,17906.0,d
r-staubcouski,employed_persons,2015,17960.0,d
r-staubcouski,employed_persons,2016,17987.0,d
r-staubcouski,employed_persons,2017,17210.0,d
r-staubcouski,employed_persons,2018,17329.0,d
r-staubcouski,employed_persons,2019,17121.0,d
r-staubcouski,employed_persons,2020,16939.0,d
r-staubcouski,employed_persons,2021,17194.0,d
r-staubcouski,employed_persons,2022,16904.0,d
r-staubcouski,employed_persons,2023,16714.0,d
r-staubcouski,employed_persons,2024,16808.0,d
r-staubcouski,k_oblast_coverage_2019,2019,1.1262,m
r-staubcouski,avg_pension_oblast_byn,2025,914.4,d
r-staubcouski,min_minutes_to_minsk,2026,51.0,d
r-stolinski,wage_byn,2010,83.007,d
r-stolinski,wage_byn,2011,130.2337,d
r-stolinski,wage_byn,2012,261.2238,d
r-stolinski,wage_byn,2013,360.3972,d
r-stolinski,wage_byn,2014,433.9899,d
r-stolinski,wage_byn,2015,472.5086,d
r-stolinski,wage_byn,2016,511.8,d
r-stolinski,wage_byn,2017,574.7,d
r-stolinski,wage_byn,2018,663.7,d
r-stolinski,wage_byn,2019,746.8,d
r-stolinski,wage_byn,2020,863.9,d
r-stolinski,wage_byn,2021,969.1,d
r-stolinski,wage_byn,2022,1156.2,d
r-stolinski,wage_byn,2023,1400.3,d
r-stolinski,wage_byn,2024,1636.1,d
r-stolinski,wage_byn,2025,2002.9,d
r-stolinski,employed_persons,2010,29433.0,d
r-stolinski,employed_persons,2011,29303.0,d
r-stolinski,employed_persons,2012,27870.0,d
r-stolinski,employed_persons,2013,25565.0,d
r-stolinski,employed_persons,2014,27733.0,d
r-stolinski,employed_persons,2015,27620.0,d
r-stolinski,employed_persons,2016,28631.0,d
r-stolinski,employed_persons,2017,28297.0,d
r-stolinski,employed_persons,2018,28170.0,d
r-stolinski,employed_persons,2019,26176.0,d
r-stolinski,employed_persons,2020,26434.0,d
r-stolinski,employed_persons,2021,26377.0,d
r-stolinski,employed_persons,2022,26769.0,d
r-stolinski,employed_persons,2023,26700.0,d
r-stolinski,employed_persons,2024,26753.0,d
r-stolinski,k_oblast_coverage_2019,2019,1.1786,m
r-stolinski,avg_pension_oblast_byn,2025,877.45,d
r-stolinski,min_minutes_to_minsk,2026,240.8,d
r-svietlahorski,wage_byn,2010,115.7125,d
r-svietlahorski,wage_byn,2011,188.3993,d
r-svietlahorski,wage_byn,2012,360.005,d
r-svietlahorski,wage_byn,2013,477.0314,d
r-svietlahorski,wage_byn,2014,570.2957,d
r-svietlahorski,wage_byn,2015,625.4043,d
