year,territory_id,age_group,sex,locality,pop
2019,BY-HR,15-19,m,rural,4672
2019,BY-HR,15-19,m,total,25245
2019,BY-HR,15-19,m,urban,20573
2019,BY-HR,15-19,t,rural,8700
2019,BY-HR,15-19,t,total,48700
2019,BY-HR,15-19,t,urban,40000
2019,BY-HR,20-24,f,rural,4349
2019,BY-HR,20-24,f,total,22708
2019,BY-HR,20-24,f,urban,18359
2019,BY-HR,20-24,m,rural,5483
2019,BY-HR,20-24,m,total,24039
2019,BY-HR,20-24,m,urban,18556
2019,BY-HR,20-24,t,rural,9832
2019,BY-HR,20-24,t,total,46747
2019,BY-HR,20-24,t,urban,36915
2019,BY-HR,25-29,f,rural,5533
2019,BY-HR,25-29,f,total,32463
2019,BY-HR,25-29,f,urban,26930
2019,BY-HR,25-29,m,rural,7012
2019,BY-HR,25-29,m,total,33353
2019,BY-HR,25-29,m,urban,26341
2019,BY-HR,25-29,t,rural,12545
2019,BY-HR,25-29,t,total,65816
2019,BY-HR,25-29,t,urban,53271
2019,BY-HR,30-34,f,rural,5833
2019,BY-HR,30-34,f,total,39358
2019,BY-HR,30-34,f,urban,33525
2019,BY-HR,30-34,m,rural,7206
2019,BY-HR,30-34,m,total,40068
2019,BY-HR,30-34,m,urban,32862
2019,BY-HR,30-34,t,rural,13039
2019,BY-HR,30-34,t,total,79426
2019,BY-HR,30-34,t,urban,66387
2019,BY-HR,35-39,f,rural,6019
2019,BY-HR,35-39,f,total,36832
2019,BY-HR,35-39,f,urban,30813
2019,BY-HR,35-39,m,rural,6863
2019,BY-HR,35-39,m,total,36305
2019,BY-HR,35-39,m,urban,29442
2019,BY-HR,35-39,t,rural,12882
2019,BY-HR,35-39,t,total,73137
2019,BY-HR,35-39,t,urban,60255
2019,BY-HR,40-44,f,rural,7805
2019,BY-HR,40-44,f,total,35061
2019,BY-HR,40-44,f,urban,27256
2019,BY-HR,40-44,m,rural,8129
2019,BY-HR,40-44,m,total,33165
2019,BY-HR,40-44,m,urban,25036
2019,BY-HR,40-44,t,rural,15934
2019,BY-HR,40-44,t,total,68226
2019,BY-HR,40-44,t,urban,52292
2019,BY-HR,45-49,f,rural,10192
2019,BY-HR,45-49,f,total,37679
2019,BY-HR,45-49,f,urban,27487
2019,BY-HR,45-49,m,rural,11044
2019,BY-HR,45-49,m,total,34514
2019,BY-HR,45-49,m,urban,23470
2019,BY-HR,45-49,t,rural,21236
2019,BY-HR,45-49,t,total,72193
2019,BY-HR,45-49,t,urban,50957
2019,BY-HR,5-9,f,rural,5593
2019,BY-HR,5-9,f,total,30422
2019,BY-HR,5-9,f,urban,24829
2019,BY-HR,5-9,m,rural,5583
2019,BY-HR,5-9,m,total,31817
2019,BY-HR,5-9,m,urban,26234
2019,BY-HR,5-9,t,rural,11176
2019,BY-HR,5-9,t,total,62239
2019,BY-HR,5-9,t,urban,51063
2019,BY-HR,50-54,f,rural,10771
