territory_id,scenario,jumpoff,year,pop,q10,q90
c-astraviec,base,official,2036,17308,,
c-astraviec,base,official,2041,18219,,
c-astraviec,base,official,2046,18965,,
c-astraviec,base,official,2051,19446,,
c-astraviec,base,official,2056,19813,,
c-astraviec,base,official,2061,20019,,
c-astraviec,base,official,2066,20207,,
c-astraviec,base,official,2071,20247,,
c-astraviec,base,official,2075,20276,,
c-astraviec,negative,official,2026,15530,,
c-astraviec,negative,official,2031,16009,,
c-astraviec,negative,official,2036,16502,,
c-astraviec,negative,official,2041,16931,,
c-astraviec,negative,official,2046,17172,,
c-astraviec,negative,official,2051,17072,,
c-astraviec,negative,official,2056,16845,,
c-astraviec,negative,official,2061,16391,,
c-astraviec,negative,official,2066,15842,,
c-astraviec,negative,official,2071,15118,,
c-astraviec,negative,official,2075,14531,,
c-astraviec,optimistic,official,2026,15530,,
c-astraviec,optimistic,official,2031,16426,,
c-astraviec,optimistic,official,2036,17513,,
c-astraviec,optimistic,official,2041,18695,,
c-astraviec,optimistic,official,2046,19796,,
c-astraviec,optimistic,official,2051,20701,,
c-astraviec,optimistic,official,2056,21551,,
c-astraviec,optimistic,official,2061,22301,,
c-astraviec,optimistic,official,2066,23127,,
c-astraviec,optimistic,official,2071,23921,,
c-astraviec,optimistic,official,2075,24627,,
c-astryna,base,official,2026,1484,,
c-astryna,base,official,2031,1350,,
c-astryna,base,official,2036,1234,,
c-astryna,base,official,2041,1124,,
c-astryna,base,official,2046,1023,,
c-astryna,base,official,2051,921,,
c-astryna,base,official,2056,828,,
c-astryna,base,official,2061,739,,
c-astryna,base,official,2066,663,,
c-astryna,base,official,2071,592,,
c-astryna,base,official,2075,545,,
c-astryna,negative,official,2026,1484,,
c-astryna,negative,official,2031,1323,,
c-astryna,negative,official,2036,1179,,
c-astryna,negative,official,2041,1046,,
c-astryna,negative,official,2046,927,,
c-astryna,negative,official,2051,809,,
c-astryna,negative,official,2056,705,,
c-astryna,negative,official,2061,608,,
c-astryna,negative,official,2066,526,,
c-astryna,negative,official,2071,450,,
c-astryna,negative,official,2075,399,,
c-astryna,optimistic,official,2026,1484,,
c-astryna,optimistic,official,2031,1355,,
c-astryna,optimistic,official,2036,1248,,
c-astryna,optimistic,official,2041,1152,,
c-astryna,optimistic,official,2046,1067,,
c-astryna,optimistic,official,2051,979,,
c-astryna,optimistic,official,2056,898,,
c-astryna,optimistic,official,2061,819,,
c-astryna,optimistic,official,2066,752,,
c-astryna,optimistic,official,2071,688,,
c-astryna,optimistic,official,2075,648,,
c-asvieja,base,official,2026,877,,
c-asvieja,base,official,2031,778,,
c-asvieja,base,official,2036,688,,
c-asvieja,base,official,2041,607,,
c-asvieja,base,official,2046,534,,
c-asvieja,base,official,2051,467,,
c-asvieja,base,official,2056,408,,
c-asvieja,base,official,2061,354,,
c-asvieja,base,official,2066,307,,
c-asvieja,base,official,2071,266,,
c-asvieja,base,official,2075,238,,
c-asvieja,negative,official,2026,877,,
c-asvieja,negative,official,2031,764,,
c-asvieja,negative,official,2036,659,,
c-asvieja,negative,official,2041,566,,
c-asvieja,negative,official,2046,485,,
c-asvieja,negative,official,2051,410,,
c-asvieja,negative,official,2056,346,,
c-asvieja,negative,official,2061,289,,
c-asvieja,negative,official,2066,240,,
c-asvieja,negative,official,2071,197,,
c-asvieja,negative,official,2075,168,,
c-asvieja,optimistic,official,2026,877,,
c-asvieja,optimistic,official,2031,781,,
c-asvieja,optimistic,official,2036,696,,
c-asvieja,optimistic,official,2041,622,,
c-asvieja,optimistic,official,2046,557,,
c-asvieja,optimistic,official,2051,498,,
c-asvieja,optimistic,official,2056,445,,
c-asvieja,optimistic,official,2061,395,,
c-asvieja,optimistic,official,2066,352,,
c-asvieja,optimistic,official,2071,314,,
c-asvieja,optimistic,official,2075,290,,
c-azarychy,base,official,2026,1221,,
c-azarychy,base,official,2031,1129,,
c-azarychy,base,official,2036,1043,,
c-azarychy,base,official,2041,968,,
c-azarychy,base,official,2046,898,,
c-azarychy,base,official,2051,829,,
c-azarychy,base,official,2056,761,,
c-azarychy,base,official,2061,697,,
c-azarychy,base,official,2066,639,,
c-azarychy,base,official,2071,587,,
c-azarychy,base,official,2075,550,,
c-azarychy,negative,official,2026,1221,,
