territory_id,oblast,year,age_group,sex,locality,pop
r-biarozauski,BY-BR,2019,5-9,f,urban,1298
r-biarozauski,BY-BR,2019,5-9,m,rural,568
r-biarozauski,BY-BR,2019,5-9,m,urban,1442
r-biarozauski,BY-BR,2019,10-14,f,rural,569
r-biarozauski,BY-BR,2019,10-14,f,urban,1172
r-biarozauski,BY-BR,2019,10-14,m,rural,575
r-biarozauski,BY-BR,2019,10-14,m,urban,1294
r-biarozauski,BY-BR,2019,15-19,f,rural,317
r-biarozauski,BY-BR,2019,15-19,f,urban,806
r-biarozauski,BY-BR,2019,15-19,m,rural,361
r-biarozauski,BY-BR,2019,15-19,m,urban,963
r-biarozauski,BY-BR,2019,20-24,f,rural,340
r-biarozauski,BY-BR,2019,20-24,f,urban,675
r-biarozauski,BY-BR,2019,20-24,m,rural,376
r-biarozauski,BY-BR,2019,20-24,m,urban,728
r-biarozauski,BY-BR,2019,25-29,f,rural,426
r-biarozauski,BY-BR,2019,25-29,f,urban,1119
r-biarozauski,BY-BR,2019,25-29,m,rural,491
r-biarozauski,BY-BR,2019,25-29,m,urban,1173
r-biarozauski,BY-BR,2019,30-34,f,rural,451
r-biarozauski,BY-BR,2019,30-34,f,urban,1375
r-biarozauski,BY-BR,2019,30-34,m,rural,554
r-biarozauski,BY-BR,2019,30-34,m,urban,1457
r-biarozauski,BY-BR,2019,35-39,f,rural,547
r-biarozauski,BY-BR,2019,35-39,f,urban,1684
r-biarozauski,BY-BR,2019,35-39,m,rural,551
r-biarozauski,BY-BR,2019,35-39,m,urban,1525
r-biarozauski,BY-BR,2019,40-44,f,rural,664
r-biarozauski,BY-BR,2019,40-44,f,urban,1564
r-biarozauski,BY-BR,2019,40-44,m,rural,665
r-biarozauski,BY-BR,2019,40-44,m,urban,1300
r-biarozauski,BY-BR,2019,45-49,f,rural,753
r-biarozauski,BY-BR,2019,45-49,f,urban,1507
r-biarozauski,BY-BR,2019,45-49,m,rural,806
r-biarozauski,BY-BR,2019,45-49,m,urban,1170
r-biarozauski,BY-BR,2019,50-54,f,rural,753
r-biarozauski,BY-BR,2019,50-54,f,urban,1491
r-biarozauski,BY-BR,2019,50-54,m,rural,891
r-biarozauski,BY-BR,2019,50-54,m,urban,1303
r-biarozauski,BY-BR,2019,55-59,f,rural,947
r-biarozauski,BY-BR,2019,55-59,f,urban,1725
r-biarozauski,BY-BR,2019,55-59,m,rural,926
r-biarozauski,BY-BR,2019,55-59,m,urban,1273
r-biarozauski,BY-BR,2019,60-64,f,rural,909
r-biarozauski,BY-BR,2019,60-64,f,urban,1894
r-biarozauski,BY-BR,2019,60-64,m,rural,852
r-biarozauski,BY-BR,2019,60-64,m,urban,1357
r-biarozauski,BY-BR,2019,65-69,f,rural,703
r-biarozauski,BY-BR,2019,65-69,f,urban,1366
r-biarozauski,BY-BR,2019,65-69,m,rural,529
r-biarozauski,BY-BR,2019,65-69,m,urban,937
r-biarozauski,BY-BR,2019,70-74,f,rural,693
r-biarozauski,BY-BR,2019,70-74,f,urban,921
r-biarozauski,BY-BR,2019,70-74,m,rural,382
r-biarozauski,BY-BR,2019,70-74,m,urban,541
r-biarozauski,BY-BR,2019,75-79,f,rural,726
r-biarozauski,BY-BR,2019,75-79,f,urban,672
r-biarozauski,BY-BR,2019,75-79,m,rural,283
r-biarozauski,BY-BR,2019,75-79,m,urban,291
r-biarozauski,BY-BR,2019,80 и старше,f,rural,1333
