country,year,age,birth_order,asfr_period
Belarus,1981,40,1,0.00114
Belarus,1981,40,2,0.00226
Belarus,1981,40,3,0.00197
Belarus,1981,40,4,0.00103
Belarus,1981,40,5p,0.00264
Belarus,1981,40,total,0.00903
Belarus,1981,50,1,0.0
Belarus,1981,50,2,0.0
Belarus,1981,50,3,0.0
Belarus,1981,50,4,0.0
Belarus,1981,50,5p,1e-05
Belarus,1981,50,total,1e-05
Belarus,1981,55+,1,0.0
Belarus,1981,55+,2,0.0
Belarus,1981,55+,3,0.0
Belarus,1981,55+,4,0.0
Belarus,1981,55+,5p,0.0
Belarus,1981,55+,total,0.0
Belarus,1982,12-,1,0.0
Belarus,1982,12-,2,0.0
Belarus,1982,12-,3,0.0
Belarus,1982,12-,4,0.0
Belarus,1982,12-,5p,0.0
Belarus,1982,12-,total,0.0
Belarus,1982,20,1,0.13354
Belarus,1982,20,2,0.0174
Belarus,1982,20,3,0.0008
Belarus,1982,20,4,1e-05
Belarus,1982,20,5p,0.0
Belarus,1982,20,total,0.15176
Belarus,1982,30,1,0.01363
Belarus,1982,30,2,0.04255
Belarus,1982,30,3,0.01391
Belarus,1982,30,4,0.00348
Belarus,1982,30,5p,0.00292
Belarus,1982,30,total,0.07649
Belarus,1982,40,1,0.00088
Belarus,1982,40,2,0.00147
Belarus,1982,40,3,0.00189
Belarus,1982,40,4,0.00118
Belarus,1982,40,5p,0.00268
Belarus,1982,40,total,0.0081
Belarus,1982,50,1,0.0
Belarus,1982,50,2,0.0
Belarus,1982,50,3,0.0
Belarus,1982,50,4,0.0
Belarus,1982,50,5p,0.0
Belarus,1982,50,total,0.0
Belarus,1982,55+,1,0.0
Belarus,1982,55+,2,0.0
Belarus,1982,55+,3,0.0
Belarus,1982,55+,4,0.0
Belarus,1982,55+,5p,0.0
Belarus,1982,55+,total,0.0
Belarus,1983,12-,1,0.0
Belarus,1983,12-,2,0.0
Belarus,1983,12-,3,0.0
Belarus,1983,12-,4,0.0
Belarus,1983,12-,5p,0.0
Belarus,1983,12-,total,0.0
Belarus,1983,20,1,0.13631
Belarus,1983,20,2,0.01888
Belarus,1983,20,3,0.00126
Belarus,1983,20,4,8e-05
Belarus,1983,20,5p,1e-05
Belarus,1983,20,total,0.15655
Belarus,1983,30,1,0.01344
Belarus,1983,30,2,0.04923
Belarus,1983,30,3,0.01501
Belarus,1983,30,4,0.00386
Belarus,1983,30,5p,0.0026
Belarus,1983,30,total,0.08413
Belarus,1983,40,1,0.00087
Belarus,1983,40,2,0.00195
Belarus,1983,40,3,0.00149
Belarus,1983,40,4,0.00078
Belarus,1983,40,5p,0.00252
Belarus,1983,40,total,0.0076
Belarus,1983,50,1,0.0
Belarus,1983,50,2,0.0
Belarus,1983,50,3,0.0
Belarus,1983,50,4,0.0
Belarus,1983,50,5p,0.0
Belarus,1983,50,total,0.0
Belarus,1983,55+,1,0.0
Belarus,1983,55+,2,0.0
Belarus,1983,55+,3,0.0
Belarus,1983,55+,4,0.0
Belarus,1983,55+,5p,0.0
Belarus,1983,55+,total,0.0
Belarus,1984,12-,1,0.0
Belarus,1984,12-,2,0.0
Belarus,1984,12-,3,0.0
Belarus,1984,12-,4,0.0
Belarus,1984,12-,5p,0.0
Belarus,1984,12-,total,0.0
Belarus,1984,20,1,0.13331
Belarus,1984,20,2,0.0183
Belarus,1984,20,3,0.00126
Belarus,1984,20,4,4e-05
Belarus,1984,20,5p,0.0
Belarus,1984,20,total,0.15292
Belarus,1984,30,1,0.0136
Belarus,1984,30,2,0.04508
Belarus,1984,30,3,0.01505
Belarus,1984,30,4,0.0039
Belarus,1984,30,5p,0.00326
Belarus,1984,30,total,0.08088
Belarus,1984,40,1,0.0009
Belarus,1984,40,2,0.00175
Belarus,1984,40,3,0.00238
Belarus,1984,40,4,0.00131
Belarus,1984,40,5p,0.00275
Belarus,1984,40,total,0.00909
Belarus,1984,50,1,0.0
Belarus,1984,50,2,0.0
Belarus,1984,50,3,0.0
Belarus,1984,50,4,0.0
Belarus,1984,50,5p,0.0
Belarus,1984,50,total,0.0
Belarus,1984,55+,1,0.0
Belarus,1984,55+,2,0.0
Belarus,1984,55+,3,0.0
Belarus,1984,55+,4,0.0
Belarus,1984,55+,5p,0.0
Belarus,1984,55+,total,0.0
Belarus,1985,12-,1,0.0
Belarus,1985,12-,2,0.0
Belarus,1985,12-,3,0.0
Belarus,1985,12-,4,0.0
Belarus,1985,12-,5p,0.0
Belarus,1985,12-,total,0.0
Belarus,1985,20,1,0.13684
Belarus,1985,20,2,0.0201
Belarus,1985,20,3,0.0011
Belarus,1985,20,4,3e-05
Belarus,1985,20,5p,0.0
Belarus,1985,20,total,0.15806
Belarus,1985,30,1,0.01265
Belarus,1985,30,2,0.04324
Belarus,1985,30,3,0.01453
Belarus,1985,30,4,0.0035
Belarus,1985,30,5p,0.00278
Belarus,1985,30,total,0.0767
Belarus,1985,40,1,0.0008
Belarus,1985,40,2,0.00222
Belarus,1985,40,3,0.00179
Belarus,1985,40,4,0.00133
Belarus,1985,40,5p,0.00256
Belarus,1985,40,total,0.0087
Belarus,1985,50,1,0.0
Belarus,1985,50,2,0.0
Belarus,1985,50,3,0.0
Belarus,1985,50,4,0.0
Belarus,1985,50,5p,0.0
Belarus,1985,50,total,0.0
Belarus,1985,55+,1,0.0
Belarus,1985,55+,2,0.0
Belarus,1985,55+,3,0.0
Belarus,1985,55+,4,0.0
Belarus,1985,55+,5p,0.0
Belarus,1985,55+,total,0.0
Belarus,1986,12-,1,0.0
Belarus,1986,12-,2,0.0
Belarus,1986,12-,3,0.0
Belarus,1986,12-,4,0.0
Belarus,1986,12-,5p,0.0
Belarus,1986,12-,total,0.0
Belarus,1986,20,1,0.12024
Belarus,1986,20,2,0.02048
Belarus,1986,20,3,0.00075
Belarus,1986,20,4,0.0
Belarus,1986,20,5p,0.0
Belarus,1986,20,total,0.14147
Belarus,1986,30,1,0.01416
Belarus,1986,30,2,0.04622
Belarus,1986,30,3,0.01664
Belarus,1986,30,4,0.00442
Belarus,1986,30,5p,0.00317
Belarus,1986,30,total,0.0846
Belarus,1986,40,1,0.00141
Belarus,1986,40,2,0.00231
