country,year,sex,age,type,central_death_rate,probability_of_death,average_survival_length,number_survivors,number_deaths,number_person_years_lived,number_person_years_remaining,life_expectancy
Belarus,1960,male,10-14,period,0.88,0.43700004,2.44,94957,415,473722,5836739,61.47
Belarus,1960,male,100,period,301.18,26.175999,0.5,868,227,754,2590,2.98
Belarus,1960,male,100-104,period,321.99002,81.253,1.95,868,705,2190,2590,2.98
Belarus,1960,male,101,period,316.06998,27.293,0.5,641,175,553,1836,2.87
Belarus,1960,male,102,period,331.33,28.424,0.5,466,132,400,1282,2.75
Belarus,1960,male,103,period,346.96002,29.567,0.5,333,99,284,883,2.65
Belarus,1960,male,104,period,362.93,30.719,0.5,235,72,199,599,2.55
Belarus,1960,male,105,period,379.21,31.876999,0.5,163,52,137,400,2.46
Belarus,1960,male,105-109,period,399.81,87.683,1.8,163,143,357,400,2.46
Belarus,1960,male,106,period,395.76,33.039,0.5,111,37,93,263,2.38
Belarus,1960,male,107,period,412.56,34.201,0.5,74,25,62,171,2.3
Belarus,1960,male,108,period,429.56,35.361,0.5,49,17,40,109,2.24
Belarus,1960,male,109,period,446.72998,36.516,0.5,32,12,26,69,2.19
Belarus,1960,male,11,period,0.79,0.079,0.5,94863,75,94825,5741829,60.53
Belarus,1960,male,110+,period,464.03,100.0,2.16,20,20,43,43,2.16
Belarus,1960,male,12,period,0.87,0.087,0.5,94788,83,94746,5647004,59.58
Belarus,1960,male,13,period,0.93,0.092999995,0.5,94705,88,94661,5552258,58.63
Belarus,1960,male,14,period,0.79,0.079,0.5,94617,75,94580,5457597,57.68
Belarus,1960,male,15,period,0.68,0.067999996,0.5,94542,65,94510,5363017,56.73
