zone_id,year,dn_sum,lit_km2
r-ashmianski,2018,2017.0,107.066
r-bierastavicki,2018,696.0,43.814
r-vaukavyski,2018,5178.0,204.704
r-voranauski,2018,1630.0,100.237
r-hrodzienski,2018,23080.0,693.03
r-dziatlauski,2018,853.0,56.916
r-zelvienski,2018,640.0,35.096
r-iujeuski,2018,1053.0,65.828
r-karelicki,2018,807.0,53.182
r-lidski,2018,6361.0,261.346
r-mastouski,2018,1449.0,60.012
r-navahrudski,2018,2072.0,86.788
r-svislacki,2018,1342.0,77.184
r-slonimski,2018,5152.0,196.431
r-smarhonski,2018,5819.0,218.514
r-shchuchynski,2018,1818.0,110.615
r-barysauski,2018,36099.0,1302.326
r-biarezinski,2018,3179.0,226.511
r-valozhynski,2018,4011.0,245.686
r-vilejski,2018,3162.0,179.429
r-dziarzhynski,2018,17261.0,683.181
r-kapylski,2018,3470.0,230.319
r-klecki,2018,1003.0,72.495
r-krupski,2018,8312.0,434.133
r-lahojski,2018,18473.0,918.893
r-lubanski,2018,3117.0,160.669
r-maladziechanski,2018,12158.0,499.923
r-minski,2018,104259.0,1832.089
r-miadzielski,2018,1528.0,108.11
r-niasvizhski,2018,5544.0,267.7
r-puchavicki,2018,13659.0,652.123
r-salihorski,2018,20649.0,666.401
r-slucki,2018,8374.0,370.353
r-smalavicki,2018,35505.0,1120.828
r-staradarozhski,2018,2728.0,105.471
r-staubcouski,2018,8523.0,398.637
r-uzdzienski,2018,3573.0,176.537
r-chervienski,2018,8153.0,433.585
r-asipovicki,2018,3617.0,154.095
r-babrujski,2018,12350.0,412.1
r-bychauski,2018,1939.0,99.776
r-bialynicki,2018,1712.0,119.462
r-hluski,2018,816.0,45.164
r-horacki,2018,3694.0,136.661
r-drybinski,2018,406.0,27.246
r-kasciukovicki,2018,1874.0,92.394
r-kirauski,2018,1951.0,120.529
r-klimavicki,2018,1323.0,77.108
r-klichauski,2018,929.0,62.976
r-krasnapolski,2018,0.0,0.0
r-kruhlanski,2018,748.0,55.317
r-krychauski,2018,6769.0,274.967
r-mahilouski,2018,31323.0,880.704
