scenario,city_id,epoch,fixed_cells,core_cells,built_fixed_m2,built_core_m2,built_edge_m2,built_buffer_m2
t05_c0,c-luniniec,1985,3509,551,1456766.0,1125270.0,229954.0,101542.0
t05_c0,c-machulishchy,1985,1581,19,386775.0,26830.0,277718.0,82227.0
t05_c0,c-mahilou,1985,11592,2667,8660854.0,6968278.0,1198937.0,493639.0
t05_c0,c-maladziechna,1985,7426,1872,5530333.0,4825827.0,546053.0,158453.0
t05_c0,c-malaryta,1985,2012,309,746753.0,580990.0,91832.0,73931.0
t05_c0,c-marjina-horka,1985,3793,261,1298874.0,516905.0,568145.0,213824.0
t05_c0,c-masty,1985,1219,103,542440.0,170732.0,27358.0,344350.0
t05_c0,c-mazyr,1985,6964,443,3424736.0,984535.0,2186416.0,253785.0
t05_c0,c-mikashevichy,1985,2286,244,584534.0,387112.0,153051.0,44371.0
t05_c0,c-minsk,1985,47724,10821,40942507.0,28810662.0,10928678.0,1203167.0
t05_c0,c-mscislau,1985,2661,401,1001526.0,732996.0,179358.0,89172.0
t05_c0,c-naroula,1985,1451,190,469058.0,324447.0,49649.0,94962.0
t05_c0,c-navahrudak,1985,3401,679,1672898.0,1409752.0,187652.0,75494.0
t05_c0,c-navapolack,1985,3406,357,1287049.0,684716.0,294417.0,307916.0
t05_c0,c-niasvizh,1985,2430,239,883584.0,399898.0,303791.0,179895.0
t05_c0,c-novalukoml,1985,2562,107,718305.0,245878.0,369056.0,103371.0
t05_c0,c-orsha,1985,8226,1908,6042743.0,4656807.0,1177174.0,208762.0
t05_c0,c-pastavy,1985,3195,625,1559926.0,1214766.0,228377.0,116783.0
t05_c0,c-pietrykau,1985,2205,330,836625.0,683880.0,125850.0,26895.0
t05_c0,c-pinsk,1985,9557,1963,6611640.0,5197305.0,1178971.0,235364.0
t05_c0,c-polack,1985,6754,909,4519480.0,1912996.0,1843467.0,763017.0
t05_c0,c-pruzhany,1985,3596,494,1440641.0,1113052.0,215397.0,112192.0
t05_c0,c-rahachou,1985,2709,687,1722570.0,1648785.0,53699.0,20086.0
t05_c0,c-rechyca,1985,7307,1883,5415258.0,4755952.0,486908.0,172398.0
t05_c0,c-salihorsk,1985,4060,451,1991774.0,1133478.0,357160.0,501136.0
t05_c0,c-shchuchyn,1985,1693,206,726078.0,381070.0,96545.0,248463.0
t05_c0,c-shklou,1985,3352,502,1472348.0,1066136.0,162233.0,243979.0
t05_c0,c-skidziel,1985,1951,166,486259.0,288099.0,99212.0,98948.0
t05_c0,c-slonim,1985,5336,521,2356831.0,1049410.0,1045749.0,261672.0
t05_c0,c-sluck,1985,5649,102,3300893.0,262646.0,2767036.0,271211.0
t05_c0,c-smalavichy,1985,2799,457,1044743.0,823907.0,93713.0,127123.0
t05_c0,c-smarhon,1985,3497,554,1423123.0,1020777.0,294168.0,108178.0
t05_c0,c-staryja-darohi,1985,1927,247,732184.0,546711.0,102627.0,82846.0
t05_c0,c-stolin,1985,3229,413,1186114.0,772352.0,226825.0,186937.0
t05_c0,c-stoubcy,1985,2837,372,1257303.0,718407.0,394222.0,144674.0
t05_c0,c-svietlahorsk,1985,6017,428,3433147.0,870044.0,2391013.0,172090.0
t05_c0,c-talachyn,1985,2270,225,687696.0,348686.0,230542.0,108468.0
t05_c0,c-uzda,1985,1944,129,414643.0,178356.0,111766.0,124521.0
t05_c0,c-valozhyn,1985,2488,285,672664.0,448489.0,133707.0,90468.0
t05_c0,c-vasilevichy,1985,1827,245,472074.0,335458.0,62368.0,74248.0
t05_c0,c-vaukavysk,1985,4879,855,2542455.0,1795172.0,470437.0,276846.0
t05_c0,c-viciebsk,1985,6214,1327,6101638.0,3534269.0,950990.0,1616379.0
t05_c0,c-vietka,1985,2019,353,758037.0,656827.0,58105.0,43105.0
t05_c0,c-vilejka,1985,3580,713,1790824.0,1485305.0,153022.0,152497.0
t05_c0,c-zaslauje,1985,3097,173,1213500.0,534866.0,463333.0,215301.0
t05_c0,c-zhabinka,1985,2499,268,1009486.0,544578.0,241159.0,223749.0
t05_c0,c-zhlobin,1985,6538,1231,4474679.0,2862053.0,1400945.0,211681.0
t05_c0,c-zhodzina,1985,3690,510,2221753.0,1472153.0,509205.0,240395.0
t05_c0,c-zhytkavichy,1985,2933,512,1350260.0,980472.0,220229.0,149559.0
t05_c0,c-ashmiany,1990,2717,379,1242180.0,832259.0,287828.0,122093.0
t05_c0,c-asipovichy,1990,4246,871,2633370.0,2115320.0,434983.0,83067.0
t05_c0,c-astraviec,1990,2121,298,685317.0,529476.0,76407.0,79434.0
t05_c0,c-babrujsk,1990,11046,3456,11302209.0,9752408.0,1353312.0,196489.0
t05_c0,c-baran,1990,1193,134,450773.0,280708.0,43431.0,126634.0
t05_c0,c-baranavichy,1990,9182,2871,9305391.0,8036358.0,875715.0,393318.0
t05_c0,c-barysau,1990,7192,2320,7112174.0,6261748.0,328070.0,522356.0
t05_c0,c-bialynichy,1990,2045,299,824368.0,546432.0,178022.0,99914.0
t05_c0,c-biaroza,1990,2970,335,1452005.0,731771.0,420152.0,300082.0
t05_c0,c-biarozauka,1990,1618,300,722000.0,617129.0,29522.0,75349.0
t05_c0,c-bielaaziorsk,1990,2902,335,1081397.0,571816.0,209309.0,300272.0
t05_c0,c-bierazino,1990,2929,384,1153210.0,755451.0,332388.0,65371.0
t05_c0,c-braslau,1990,2312,198,799778.0,405310.0,238426.0,156042.0
t05_c0,c-brest,1990,12137,3176,10496374.0,8455582.0,1547265.0,493527.0
t05_c0,c-bychau,1990,3131,530,1501826.0,1052311.0,324964.0,124551.0
t05_c0,c-chashniki,1990,1955,241,699898.0,440345.0,90725.0,168828.0
t05_c0,c-chavusy,1990,1641,254,620236.0,459804.0,53530.0,106902.0
