scenario,city_id,epoch,seed_found,footprint_cells,built_dyn_m2,perimeter_edges,merged_with
t05_c0,c-shchuchyn,1985,1,223,392186.0,198,
t05_c0,c-shklou,1985,1,529,1083582.0,330,
t05_c0,c-skidziel,1985,1,187,302064.0,214,
t05_c0,c-slonim,1985,1,565,1080992.0,484,
t05_c0,c-sluck,1985,1,1372,2774153.0,1218,
t05_c0,c-smalavichy,1985,1,502,855662.0,536,
t05_c0,c-smarhon,1985,1,693,1178983.0,776,
t05_c0,c-staryja-darohi,1985,1,301,601639.0,266,
t05_c0,c-stolin,1985,1,441,791547.0,392,
t05_c0,c-stoubcy,1985,1,419,764056.0,374,
t05_c0,c-svietlahorsk,1985,1,488,920793.0,558,
t05_c0,c-talachyn,1985,1,247,361732.0,286,
t05_c0,c-uzda,1985,1,175,224221.0,278,
t05_c0,c-valozhyn,1985,1,325,482460.0,444,
t05_c0,c-vasilevichy,1985,1,283,367153.0,418,
t05_c0,c-vaukavysk,1985,1,978,1935819.0,834,
t05_c0,c-viciebsk,1985,1,1375,3572783.0,592,
t05_c0,c-vietka,1985,1,403,697033.0,346,
t05_c0,c-vilejka,1985,1,777,1565510.0,594,
t05_c0,c-zaslauje,1985,1,195,556611.0,134,
t05_c0,c-zhabinka,1985,1,285,555743.0,290,
t05_c0,c-zhlobin,1985,1,1411,3094801.0,886,
t05_c0,c-zhodzina,1985,1,699,1759016.0,628,
t05_c0,c-zhytkavichy,1985,1,618,1115196.0,510,
t05_c0,c-ashmiany,1990,1,434,881069.0,394,
t05_c0,c-asipovichy,1990,1,1079,2364564.0,662,
t05_c0,c-astraviec,1990,1,331,555600.0,378,
t05_c0,c-babrujsk,1990,1,4197,10792016.0,2226,
t05_c0,c-baran,1990,1,156,300850.0,154,
t05_c0,c-baranavichy,1990,1,3078,8229578.0,1470,
t05_c0,c-barysau,1990,1,2432,6357979.0,1232,
t05_c0,c-bialynichy,1990,1,388,680787.0,332,
t05_c0,c-biaroza,1990,1,491,989479.0,426,
t05_c0,c-biarozauka,1990,1,312,626055.0,210,
t05_c0,c-bielaaziorsk,1990,1,400,661449.0,460,
t05_c0,c-bierazino,1990,1,415,778512.0,296,
t05_c0,c-braslau,1990,1,356,627456.0,410,
t05_c0,c-brest,1990,1,3575,9070891.0,2194,
t05_c0,c-bychau,1990,1,720,1308667.0,722,
t05_c0,c-chashniki,1990,1,285,471568.0,254,
t05_c0,c-chavusy,1990,1,295,494652.0,304,
t05_c0,c-chervien,1990,1,323,429047.0,440,
t05_c0,c-chojniki,1990,1,334,564604.0,374,
t05_c0,c-dobrush,1990,1,481,917477.0,422,
t05_c0,c-drahichyn,1990,1,468,834432.0,346,
t05_c0,c-dziarzhynsk,1990,1,524,952775.0,612,
t05_c0,c-fanipal,1990,1,144,404178.0,126,
t05_c0,c-hancavichy,1990,1,471,893185.0,450,
t05_c0,c-haradok,1990,1,155,260885.0,154,
t05_c0,c-hlybokaje,1990,1,800,1717143.0,592,
